"commodityName","PriceType","unit","min","max","avg","date"
"Potato Red","Retail","Kg",60,70,65,"Jul 31, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 1, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 2, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 3, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 4, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 5, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 6, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 7, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 8, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 9, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 10, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 11, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 12, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 13, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 14, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 15, 2019"
"Potato Red","Retail","Kg",55,60,58,"Aug 31, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 3, 2019"
"Potato Red","Retail","Kg",50,60,55,"Aug 16, 2019"
"Potato Red","Retail","Kg",50,60,55,"Aug 17, 2019"
"Potato Red","Retail","Kg",50,60,55,"Aug 18, 2019"
"Potato Red","Retail","Kg",55,60,58,"Aug 20, 2019"
"Potato Red","Retail","Kg",55,60,58,"Aug 21, 2019"
"Potato Red","Retail","Kg",55,60,58,"Aug 22, 2019"
"Potato Red","Retail","Kg",50,60,55,"Aug 19, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 2, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 4, 2019"
"Potato Red","Retail","Kg",55,60,58,"Aug 30, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 1, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 12, 2019"
"Potato Red","Retail","Kg",55,60,58,"Aug 25, 2019"
"Potato Red","Retail","Kg",55,60,58,"Aug 26, 2019"
"Potato Red","Retail","Kg",55,60,58,"Aug 28, 2019"
"Potato Red","Retail","Kg",55,60,58,"Aug 24, 2019"
"Potato Red","Retail","Kg",60,70,65,"Aug 23, 2019"
"Potato Red","Retail","Kg",55,60,58,"Aug 27, 2019"
"Potato Red","Retail","Kg",55,60,58,"Aug 29, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 7, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 8, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 9, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 11, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 5, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 6, 2019"
"Potato Red","Retail","Kg",55,60,58,"Sep 10, 2019"
"Potato Red","Retail","Kg",60,65,63,"Sep 13, 2019"
"Potato Red","Retail","Kg",65,70,68,"Sep 14, 2019"
"Potato Red","Retail","Kg",60,70,65,"Sep 15, 2019"
"Potato Red","Retail","Kg",65,70,68,"Sep 16, 2019"
"Potato Red","Retail","Kg",65,70,68,"Sep 17, 2019"
"Potato Red","Retail","Kg",65,70,68,"Sep 18, 2019"
"Potato Red","Retail","Kg",65,70,68,"Sep 19, 2019"
"Potato Red","Retail","Kg",65,70,68,"Sep 20, 2019"
"Potato Red","Retail","Kg",70,80,75,"Sep 21, 2019"
"Potato Red","Retail","Kg",70,80,75,"Sep 22, 2019"
"Potato Red","Retail","Kg",70,75,73,"Sep 23, 2019"
"Potato Red","Retail","Kg",70,75,73,"Sep 24, 2019"
"Potato Red","Retail","Kg",70,80,75,"Sep 25, 2019"
"Potato Red","Retail","Kg",70,75,73,"Sep 26, 2019"
"Potato Red","Retail","Kg",70,75,73,"Sep 27, 2019"
"Potato Red","Retail","Kg",70,75,73,"Sep 28, 2019"
"Potato Red","Retail","Kg",70,75,73,"Sep 29, 2019"
"Potato Red","Retail","Kg",70,75,73,"Sep 30, 2019"
"Potato Red","Retail","Kg",70,75,73,"Oct 1, 2019"
"Potato Red","Retail","Kg",70,75,73,"Oct 2, 2019"
"Potato Red","Retail","Kg",70,75,73,"Oct 3, 2019"
"Potato Red","Retail","Kg",70,75,73,"Oct 4, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Oct 4, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Oct 3, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Oct 2, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Oct 1, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Sep 30, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Sep 29, 2019"
"Potato Red","Wholesale","Kg",61,63,62,"Sep 28, 2019"
"Potato Red","Wholesale","Kg",60,65,62,"Sep 27, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Sep 26, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Sep 25, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Sep 24, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Sep 23, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Sep 22, 2019"
"Potato Red","Wholesale","Kg",58,60,59,"Sep 19, 2019"
"Potato Red","Wholesale","Kg",58,60,59,"Sep 20, 2019"
"Potato Red","Wholesale","Kg",55,60,58,"Sep 17, 2019"
"Potato Red","Wholesale","Kg",45,50,48,"Sep 14, 2019"
"Potato Red","Wholesale","Kg",41,43,42,"Sep 2, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Sep 3, 2019"
"Potato Red","Wholesale","Kg",41,43,42,"Sep 1, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Sep 7, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Sep 5, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Sep 6, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Sep 4, 2019"
"Potato Red","Wholesale","Kg",60,62,61,"Sep 21, 2019"
"Potato Red","Wholesale","Kg",43,45,44,"Sep 13, 2019"
"Potato Red","Wholesale","Kg",41,43,42,"Sep 10, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Sep 9, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Sep 8, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 25, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 29, 2019"
"Potato Red","Wholesale","Kg",41,46,43,"Aug 31, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 30, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 28, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 27, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 26, 2019"
"Potato Red","Wholesale","Kg",42,45,44,"Sep 12, 2019"
"Potato Red","Wholesale","Kg",42,44,43,"Sep 11, 2019"
"Potato Red","Wholesale","Kg",58,60,59,"Sep 18, 2019"
"Potato Red","Wholesale","Kg",50,52,51,"Sep 15, 2019"
"Potato Red","Wholesale","Kg",52,55,53,"Sep 16, 2019"
"Potato Red","Wholesale","Kg",40,43,42,"Aug 14, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 3, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 24, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 22, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 20, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 17, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 6, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 5, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 4, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 2, 2019"
"Potato Red","Wholesale","Kg",41,43,42,"Aug 1, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 7, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 19, 2019"
"Potato Red","Wholesale","Kg",39,41,40,"Aug 11, 2019"
"Potato Red","Wholesale","Kg",42,45,43,"Jul 31, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 23, 2019"
"Potato Red","Wholesale","Kg",39,41,40,"Aug 10, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 21, 2019"
"Potato Red","Wholesale","Kg",38,40,39,"Aug 9, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 16, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 18, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 15, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 13, 2019"
"Potato Red","Wholesale","Kg",39,41,40,"Aug 12, 2019"
"Potato Red","Wholesale","Kg",40,42,41,"Aug 8, 2019"
"Tomato Small","Retail","Kg",90,100,95,"Jul 31, 2019"
"Tomato Small","Retail","Kg",90,100,95,"Aug 1, 2019"
"Tomato Small","Retail","Kg",80,90,85,"Aug 2, 2019"
"Tomato Small","Retail","Kg",80,90,85,"Aug 3, 2019"
"Tomato Small","Retail","Kg",80,90,85,"Aug 4, 2019"
"Tomato Small","Retail","Kg",80,90,85,"Aug 5, 2019"
"Tomato Small","Retail","Kg",80,90,85,"Aug 6, 2019"
"Tomato Small","Retail","Kg",80,90,85,"Aug 7, 2019"
"Tomato Small","Retail","Kg",90,100,95,"Aug 8, 2019"
"Tomato Small","Retail","Kg",90,100,95,"Aug 9, 2019"
"Tomato Small","Retail","Kg",90,100,95,"Aug 10, 2019"
"Tomato Small","Retail","Kg",90,100,95,"Aug 11, 2019"
"Tomato Small","Retail","Kg",90,100,95,"Aug 12, 2019"
"Tomato Small","Retail","Kg",90,100,95,"Aug 13, 2019"
"Tomato Small","Retail","Kg",90,100,95,"Aug 14, 2019"
"Tomato Small","Retail","Kg",120,130,125,"Aug 15, 2019"
"Tomato Small","Retail","Kg",60,80,70,"Sep 2, 2019"
"Tomato Small","Retail","Kg",120,130,125,"Aug 16, 2019"
"Tomato Small","Retail","Kg",122,130,126,"Aug 18, 2019"
"Tomato Small","Retail","Kg",130,140,135,"Aug 19, 2019"
"Tomato Small","Retail","Kg",120,130,125,"Aug 20, 2019"
"Tomato Small","Retail","Kg",120,130,125,"Aug 21, 2019"
"Tomato Small","Retail","Kg",120,130,125,"Aug 22, 2019"
"Tomato Small","Retail","Kg",120,130,125,"Aug 17, 2019"
"Tomato Small","Retail","Kg",40,50,45,"Sep 4, 2019"
"Tomato Small","Retail","Kg",80,90,85,"Aug 30, 2019"
"Tomato Small","Retail","Kg",70,80,75,"Aug 31, 2019"
"Tomato Small","Retail","Kg",60,70,65,"Sep 1, 2019"
"Tomato Small","Retail","Kg",70,80,75,"Sep 3, 2019"
"Tomato Small","Retail","Kg",70,80,75,"Sep 12, 2019"
"Tomato Small","Retail","Kg",110,120,115,"Aug 24, 2019"
"Tomato Small","Retail","Kg",100,110,105,"Aug 25, 2019"
"Tomato Small","Retail","Kg",80,90,85,"Aug 27, 2019"
"Tomato Small","Retail","Kg",80,90,85,"Aug 28, 2019"
"Tomato Small","Retail","Kg",70,80,75,"Aug 29, 2019"
"Tomato Small","Retail","Kg",110,120,115,"Aug 23, 2019"
"Tomato Small","Retail","Kg",90,100,95,"Aug 26, 2019"
"Tomato Small","Retail","Kg",60,80,70,"Sep 7, 2019"
